Symbol
AAPL
NVDA
GOOG
AMZN
GOOGL
META
BRK.B
AVGO
LLY
TSLA
WMT
JPM
V
MA
XOM
UNH
COST
PG
ORCL
HD
ABBV
NFLX
KO
BAC
TMUS
CVX
CRM
CSCO
IBM
ABT
PM
MCD
WFC
LIN
PEP
ACN
GE
TMO
VZ
T
ADBE
PLTR
AXP
DIS
MS
AMGN
ISRG
QCOM
RTX
TXN
GS
CAT
PGR
NOW
INTU
AMD
NEE
UBER
PFE
UNP
SPGI
DHR
GILD
BKNG
BLK
CMCSA
SYK
HON
LOW
BSX
DE
TJX
SCHW
VRTX
BMY
AMAT
C
ADP
FI
MDT
COP
CB
NKE
SBUX
MMC
LMT
BA
PLD
ADI
BX
UPS
KKR
MO
AMT
MU
ICE
ANET
LRCX
ELV
CME
